1,20807,693.533,START
1,20972,699.067,END
2,20973,699.067,START
2,21510,717.000,END
3,21511,717.000,START
3,21865,728.833,END
1,22595,753.133,START
1,22771,759.033,END
1,25928,864.233,START
1,26586,886.200,END
1,26664,888.767,START
1,26798,893.267,END
1,28364,945.433,START
1,28720,957.333,END
1,33195,1106.467,START
1,34296,1143.200,END
1,39007,1300.200,START
1,39779,1325.967,END
1,41555,1385.133,START
1,42293,1409.767,END
1,46543,1551.400,START
1,47260,1575.333,END
2,47261,1575.333,START
2,47652,1588.400,END
1,49126,1637.500,START
1,49742,1658.067,END
1,58185,1939.467,START
1,58420,1947.333,END
1,60594,2019.767,START
1,61847,2061.567,END
1,62523,2084.067,START
1,62675,2089.167,END
1,66074,2202.433,START
1,66872,2229.067,END
1,1403,23.367,START
1,1547,25.783,END
2,1548,25.783,START
2,2118,35.300,END
3,2119,35.300,START
3,2401,40.017,END
4,2402,40.017,START
4,2612,43.533,END
5,2613,43.533,START
5,2864,47.733,END
5,3152,52.517,START
5,3284,54.733,END
1,11270,187.817,START
1,11673,194.550,END
1,22237,370.600,START
1,22372,372.867,END
1,25772,429.517,START
1,26173,436.217,END
1,36902,615.017,START
1,37497,624.950,END
1,47260,787.650,START
1,48827,813.783,END
1,48854,814.217,START
1,49459,824.317,END
1,52157,869.267,START
1,52380,873.000,END
2,52381,873.000,START
2,52454,874.233,END
3,52455,874.233,START
3,52660,877.667,END
1,57008,950.117,START
1,61235,1020.583,END
1,84093,1401.533,START
1,85255,1420.917,END
2,85256,1420.917,START
2,85386,1423.100,END
3,85387,1423.100,START
3,86012,1433.533,END
1,89578,1492.950,START
1,90357,1505.950,END
1,92870,1547.817,START
1,93611,1560.183,END
1,97601,1626.667,START
1,98377,1639.617,END
1,109315,1821.900,START
1,110795,1846.583,END
2,110796,1846.583,START
2,111408,1856.800,END
1,123756,2062.583,START
1,124760,2079.333,END
1,6705,111.733,START
1,61,1.021,START
1,61,1.021,START
1,61,1.021,START
1,61,1.021,START
1,117,1.954,START
1,420,7.021,END
2,421,7.021,START
1,117,1.954,START
